taxpayer_id,nric,annual_income_sgd,total_reliefs_sgd,chargeable_income_sgd,cpf_contributions_sgd,foreign_income_sgd,tax_payable_sgd,tax_paid_sgd,income_after_reliefs_sgd,tax_balance_sgd,effective_tax_rate_pct,relief_ratio_pct
SG021,G1234567U,158000,19800,138200,0,0,29640,28900,138200,740,21.447178002894358,12.531645569620252
SG022,S2345678V,45000,3950,41050,9000,0,2555,3000,41050,-445,6.224116930572473,8.777777777777777
SG023,S3456789W,79000,12950,66050,15800,0,6605,7000,66050,-395,10.0,16.39240506329114
SG024,S4567890X,84000,13400,70600,16800,0,7560,7200,70600,360,10.708215297450426,15.95238095238095
SG025,S5678901Y,41000,2950,38050,8200,0,1555,2100,38050,-545,4.086727989487517,7.1951219512195115
SG026,S6789012Z,121000,18450,102550,24200,0,16510,16000,102550,510,16.099463676255485,15.24793388429752
SG027,S7890123A,59000,6950,52050,11800,0,4205,4600,52050,-395,8.07877041306436,11.779661016949152
SG028,S8901234B,66000,9450,56550,13200,0,5155,5600,56550,-445,9.115826702033598,14.318181818181818
SG029,S9012345C,105000,15900,89100,21000,0,13565,13000,89100,565,15.22446689113356,15.142857142857144
SG050,,75000,10000,65000,15000,0,6500,6800,65000,-300,10.0,13.333333333333334
SG051,S1111111A,82000,12000,70000,16400,0,7000,7200,70000,-200,10.0,14.634146341463413
SG052,S2222222B,95000,15000,80000,19000,0,8000,8500,80000,-500,10.0,15.789473684210526
SG053,INVALID_NRIC,67000,9000,58000,13400,0,5800,6000,58000,-200,10.0,13.432835820895523
SG054,S1234568A,55000,7000,48000,11000,0,4800,5000,48000,-200,10.0,12.727272727272727
SG055,,89000,13000,76000,17800,0,7600,7800,76000,-200,10.0,14.606741573033707
SG056,S3456781C,72000,10000,62000,14400,0,6200,6500,62000,-300,10.0,13.88888888888889
SG057,XXXXX1234,64000,9000,55000,12800,0,5500,5800,55000,-300,10.0,14.0625
SG058,S4567892D,58000,8000,50000,11600,0,5000,5200,50000,-200,10.0,13.793103448275861
SG059,S5678903E,91000,13000,78000,18200,0,7800,8000,78000,-200,10.0,14.285714285714285
SG060,S6789014F,63000,9000,54000,12600,0,5400,5600,54000,-200,10.0,14.285714285714285
SG061,,78000,11000,67000,15600,0,6700,6900,67000,-200,10.0,14.102564102564102
SG062,S7890125G,49000,6000,42000,9800,0,4200,4400,43000,-200,10.0,12.244897959183673
SG063,INVALID99,85000,12000,73000,17000,0,7300,7500,73000,-200,10.0,14.117647058823529
SG064,S8901236H,71000,10000,61000,14200,0,6100,6300,61000,-200,10.0,14.084507042253522
SG065,S9012347I,66000,9000,57000,13200,0,5700,5900,57000,-200,10.0,13.636363636363635
SG066,S0123458J,52000,7000,45000,10400,0,4500,4700,45000,-200,10.0,13.461538461538462
SG067,,94000,14000,81000,18800,0,8100,8300,80000,-200,10.0,14.893617021276595
SG068,S1234569K,59000,8000,51000,11800,0,5100,5300,51000,-200,10.0,13.559322033898304
SG069,BADNRIC01,73000,10000,63000,14600,0,6300,6500,63000,-200,10.0,13.698630136986301
SG070,S2345670L,61000,8000,52000,12200,0,5200,5400,53000,-200,10.0,13.114754098360656
SG071,S3456781M,87000,12000,75000,17400,0,7500,7700,75000,-200,10.0,13.793103448275861
SG072,S4567892N,54000,7000,47000,10800,0,4700,4900,47000,-200,10.0,12.962962962962962
SG073,,76000,11000,65000,15200,0,6500,6700,65000,-200,10.0,14.473684210526317
SG074,S5678903O,68000,9000,58000,13600,0,5800,6000,59000,-200,10.0,13.23529411764706
SG075,INVALID_ID,82000,12000,70000,16400,0,7000,7200,70000,-200,10.0,14.634146341463413
SG076,S6789014P,57000,7000,49000,11400,0,4900,5100,50000,-200,10.0,12.280701754385964
SG077,S7890125Q,89000,13000,76000,17800,0,7600,7800,76000,-200,10.0,14.606741573033707
SG078,S8901236R,65000,9000,56000,13000,0,5600,5800,56000,-200,10.0,13.846153846153847
SG079,,74000,10000,64000,14800,0,6400,6600,64000,-200,10.0,13.513513513513514
SG080,S9012347S,51000,6000,44000,10200,0,4400,4600,45000,-200,10.0,11.76470588235294
SG081,NRIC_BAD1,92000,14000,79000,18400,0,7900,8100,78000,-200,10.0,15.217391304347828
SG082,S0123458T,69000,10000,59000,13800,0,5900,6100,59000,-200,10.0,14.492753623188406
SG083,S1234569U,77000,11000,66000,15400,0,6600,6800,66000,-200,10.0,14.285714285714285
SG084,S2345670V,56000,7000,48000,11200,0,4800,5000,49000,-200,10.0,12.5
SG085,,84000,12000,72000,16800,0,7200,7400,72000,-200,10.0,14.285714285714285
SG086,S3456781W,62000,8000,53000,12400,0,5300,5500,54000,-200,10.0,12.903225806451612
SG087,BADNRIC02,78000,11000,67000,15600,0,6700,6900,67000,-200,10.0,14.102564102564102
SG088,S4567892X,48000,6000,41000,9600,0,4100,4300,42000,-200,10.0,12.5
SG089,S5678903Y,86000,12000,74000,17200,0,7400,7600,74000,-200,10.0,13.953488372093023
SG090,S6789014Z,64000,9000,55000,12800,0,5500,5700,55000,-200,10.0,14.0625
SG091,,81000,12000,69000,16200,0,6900,7100,69000,-200,10.0,14.814814814814813
SG092,S7890125A,53000,7000,46000,10600,0,4600,4800,46000,-200,10.0,13.20754716981132
SG093,INVALID88,75000,11000,64000,15000,0,6400,6600,64000,-200,10.0,14.666666666666666
SG094,S8901236B,67000,9000,57000,13400,0,5700,5900,58000,-200,10.0,13.432835820895523
SG095,S9012347C,90000,13000,77000,18000,0,7700,7900,77000,-200,10.0,14.444444444444443
SG096,S0123458D,58000,8000,50000,11600,0,5000,5200,50000,-200,10.0,13.793103448275861
SG097,,83000,12000,71000,16600,0,7100,7300,71000,-200,10.0,14.457831325301203
SG098,S1234569E,50000,6000,43000,10000,0,4300,4500,44000,-200,10.0,12.0
SG099,NRICBAD99,79000,11000,68000,15800,0,6800,7000,68000,-200,10.0,13.924050632911392
SG100,S2345670F,66000,9000,56000,13200,0,5600,5800,57000,-200,10.0,13.636363636363635
SG101,S3456781G,88000,13000,75000,17600,0,7500,7700,75000,-200,10.0,14.772727272727273
SG102,S4567892H,55000,7000,47000,11000,0,4700,4900,48000,-200,10.0,12.727272727272727
SG103,,72000,10000,62000,14400,0,6200,6400,62000,-200,10.0,13.88888888888889
SG104,S5678903I,61000,8000,52000,12200,0,5200,5400,53000,-200,10.0,13.114754098360656
SG105,BADID2024,85000,12000,73000,17000,0,7300,7500,73000,-200,10.0,14.117647058823529
SG106,S6789014J,49000,6000,42000,9800,0,4200,4400,43000,-200,10.0,12.244897959183673
SG107,S7890125K,91000,14000,78000,18200,0,7800,8000,77000,-200,10.0,15.384615384615385
SG108,S8901236L,63000,9000,54000,12600,0,5400,5600,54000,-200,10.0,14.285714285714285
SG109,,76000,11000,65000,15200,0,6500,6700,65000,-200,10.0,14.473684210526317
SG110,S9012347M,52000,7000,45000,10400,0,4500,4700,45000,-200,10.0,13.461538461538462
SG111,NRIC_INV1,87000,13000,74000,17400,0,7400,7600,74000,-200,10.0,14.942528735632186
SG112,S0123458N,59000,8000,51000,11800,0,5100,5300,51000,-200,10.0,13.559322033898304
SG113,S1234569O,82000,12000,70000,16400,0,7000,7200,70000,-200,10.0,14.634146341463413
SG114,S2345670P,54000,7000,47000,10800,0,4700,4900,47000,-200,10.0,12.962962962962962
SG115,,74000,10000,64000,14800,0,6400,6600,64000,-200,10.0,13.513513513513514
SG116,S3456781Q,67000,9000,57000,13400,0,5700,5900,58000,-200,10.0,13.432835820895523
SG117,INVALID77,89000,13000,76000,17800,0,7600,7800,76000,-200,10.0,14.606741573033707
SG118,S4567892R,51000,6000,44000,10200,0,4400,4600,45000,-200,10.0,11.76470588235294
SG119,S5678903S,93000,14000,80000,18600,0,8000,8200,79000,-200,10.0,15.053763440860216
SG120,S6789014T,65000,9000,56000,13000,0,5600,5800,56000,-200,10.0,13.846153846153847
SG121,,78000,11000,67000,15600,0,6700,6900,67000,-200,10.0,14.102564102564102
SG122,S7890125U,56000,7000,48000,11200,0,4800,5000,49000,-200,10.0,12.5
SG123,NRICWRONG,84000,12000,72000,16800,0,7200,7400,72000,-200,10.0,14.285714285714285
SG124,S8901236V,48000,6000,41000,9600,0,4100,4300,42000,-200,10.0,12.5
SG125,S9012347W,86000,12000,74000,17200,0,7400,7600,74000,-200,10.0,13.953488372093023
SG126,S0123458X,62000,8000,53000,12400,0,5300,5500,54000,-200,10.0,12.903225806451612
SG127,,71000,10000,61000,14200,0,6100,6300,61000,-200,10.0,14.084507042253522
SG128,S1234569Y,57000,7000,49000,11400,0,4900,5100,50000,-200,10.0,12.280701754385964
SG129,BADNRIC03,88000,13000,75000,17600,0,7500,7700,75000,-200,10.0,14.772727272727273
SG130,S2345670Z,60000,8000,51000,12000,0,5100,5300,52000,-200,10.0,13.333333333333334
SG131,S3456781A,95000,14000,81000,19000,0,8100,8300,81000,-200,10.0,14.736842105263156
SG132,S4567892B,53000,7000,46000,10600,0,4600,4800,46000,-200,10.0,13.20754716981132
SG133,,75000,11000,64000,15000,0,6400,6600,64000,-200,10.0,14.666666666666666
SG134,S5678903C,68000,9000,58000,13600,0,5800,6000,59000,-200,10.0,13.23529411764706
SG135,NRIC_BAD2,81000,12000,69000,16200,0,6900,7100,69000,-200,10.0,14.814814814814813
SG136,S6789014U,55000,7000,47000,11000,0,4700,4900,48000,-200,10.0,12.727272727272727
SG137,S7890125V,92000,14000,79000,18400,0,7900,8100,78000,-200,10.0,15.217391304347828
SG138,S8901236W,64000,9000,55000,12800,0,5500,5700,55000,-200,10.0,14.0625
SG139,,77000,11000,66000,15400,0,6600,6800,66000,-200,10.0,14.285714285714285
SG140,S9012347X,49000,6000,42000,9800,0,4200,4400,43000,-200,10.0,12.244897959183673
SG141,INVALID66,85000,12000,73000,17000,0,7300,7500,73000,-200,10.0,14.117647058823529
SG142,S0123458Y,61000,8000,52000,12200,0,5200,5400,53000,-200,10.0,13.114754098360656
SG143,S1234569Z,89000,13000,76000,17800,0,7600,7800,76000,-200,10.0,14.606741573033707
SG144,S2345670A,58000,8000,50000,11600,0,5000,5200,50000,-200,10.0,13.793103448275861
SG145,,73000,10000,63000,14600,0,6300,6500,63000,-200,10.0,13.698630136986301
SG146,S3456781B,66000,9000,56000,13200,0,5600,5800,57000,-200,10.0,13.636363636363635
SG147,BADID9999,82000,12000,70000,16400,0,7000,7200,70000,-200,10.0,14.634146341463413
SG148,S4567892C,52000,7000,45000,10400,0,4500,4700,45000,-200,10.0,13.461538461538462
SG149,S5678903D,94000,14000,80000,18800,0,8000,8200,80000,-200,10.0,14.893617021276595
SG030,S0123456D,78000,12950,65050,15600,0,6505,7000,65050,-495,10.0,16.602564102564102
SG031,G2345678E,178000,19800,158200,0,0,35140,34500,158200,640,22.212389380530972,11.123595505617978
SG032,S3456789F,47000,3950,43050,9400,0,2555,3200,43050,-645,5.934959349593496,8.404255319148936
SG033,S4567890G,72000,12950,59050,14400,0,5405,5800,59050,-395,9.153259949195597,17.98611111111111
SG034,S5678901H,87000,13900,73100,17400,0,8310,7900,73100,410,11.367989056087552,15.977011494252874
SG035,S6789012I,43000,2950,40050,8600,0,2005,2400,40050,-395,5.0062421972534334,6.86046511627907
SG036,S7890123J,113000,16450,96550,22600,0,15310,14800,96550,510,15.857068876229933,14.557522123893804
SG037,S8901234K,62000,7950,54050,12400,0,4405,4800,54050,-395,8.149861239592969,12.822580645161292
SG038,S9012345L,70000,10450,59550,14000,0,5455,5900,59550,-445,9.160369437447523,14.92857142857143
SG039,S0123456M,91000,13900,77100,18200,0,9210,8800,77100,410,11.945525291828794,15.274725274725276
SG040,S1234567N,69000,10450,58550,13800,0,5355,5800,58550,-445,9.146029035012809,15.144927536231883
SG041,G3456789O,195000,19800,175200,0,25000,41040,40200,175200,840,23.424657534246577,10.153846153846153
SG042,S4567890P,46000,3950,42050,9200,0,2555,3100,42050,-545,6.076099881093936,8.58695652173913
SG043,S5678901Q,68000,10950,57050,13600,0,5205,5600,57050,-395,9.123575810692374,16.10294117647059
