taxpayer_id,nric,full_name,residential_status,number_of_dependents,housing_type,assessment_year
SG117,INVALID77,Rachel Liu,Resident,1,Private Condo,2023
SG118,S4567892R,Frank Teo,Resident,0,HDB 2-room,2023
SG119,S5678903S,Natalie Chen,Resident,2,Landed Property,2023
SG120,S6789014T,Russell Koh,Resident,0,HDB 4-room,2023
SG121,,Gloria Tan,Resident,1,Private Condo,2023
SG122,S7890125U,Jerome Ng,Resident,0,HDB 3-room,2023
SG123,NRICWRONG,Priscilla Lau,Resident,2,HDB 5-room,2023
SG124,S8901236V,Leon Wong,Resident,0,HDB 2-room,2023
SG125,S9012347W,Tiffany Liu,Resident,1,Private Condo,2023
SG126,S0123458X,Clayton Teo,Resident,0,HDB 4-room,2023
SG127,,Audrey Chen,Resident,2,Private Condo,2023
SG128,S1234569Y,Garrett Koh,Resident,0,HDB 3-room,2023
SG129,BADNRIC03,Beverly Tan,Resident,1,HDB 5-room,2023
SG130,S2345670Z,Wesley Ng,Resident,0,Private Condo,2023
SG131,S3456781A,Felicia Lim,Resident,2,Landed Property,2023
SG132,S4567892B,Martin Wong,Resident,0,HDB 3-room,2023
SG133,,Stella Liu,Resident,1,HDB 4-room,2023
SG134,S5678903C,Ian Teo,Resident,0,Private Condo,2023
SG135,NRIC_BAD2,Gina Chen,Resident,2,HDB 5-room,2023
SG136,S6789014U,Dustin Koh,Resident,0,HDB 2-room,2023
SG137,S7890125V,Pamela Tan,Resident,1,Private Condo,2023
SG138,S8901236W,Claude Ng,Resident,0,HDB 4-room,2023
SG139,,Yvonne Lau,Resident,2,Private Condo,2023
SG140,S9012347X,Preston Wong,Resident,0,HDB 2-room,2023
SG141,INVALID66,Lorraine Liu,Resident,1,HDB 5-room,2023
SG142,S0123458Y,Rodney Teo,Resident,0,Private Condo,2023
SG143,S1234569Z,Carmen Chen,Resident,2,Landed Property,2023
SG144,S2345670A,Blake Koh,Resident,0,HDB 4-room,2023
SG145,,Roxanne Tan,Resident,1,Private Condo,2023
SG146,S3456781B,Calvin Ng,Resident,0,HDB 3-room,2023
SG147,BADID9999,Miranda Lim,Resident,2,HDB 5-room,2023
SG148,S4567892C,Eugene Wong,Resident,0,HDB 2-room,2023
SG149,S5678903D,Celeste Liu,Resident,1,Private Condo,2023
SG030,S0123456D,Michelle Lau,Resident,1,Private Condo,2023
SG031,G2345678E,Robert Johnson,Non-Resident,0,Private Condo,2023
SG032,S3456789F,Nurul Huda,Resident,2,HDB 3-room,2023
SG033,S4567890G,Marcus Wong,Resident,0,Private Condo,2023
SG034,S5678901H,Deepika Nair,Resident,2,Private Condo,2023
SG035,S6789012I,Joshua Koh,Resident,0,HDB 2-room,2023
SG036,S7890123J,Vanessa Sim,Resident,1,Landed Property,2023
SG037,S8901234K,Rizwan Ahmed,Resident,0,HDB 3-room,2023
SG038,S9012345L,Felicia Tan,Resident,2,Private Condo,2023
SG039,S0123456M,Vikram Reddy,Resident,0,CBD Office,2023
SG040,S1234567N,Angela Ho,Resident,1,Private Condo,2023
SG041,G3456789O,Michael Brown,Non-Resident,0,Private Condo,2023
SG042,S4567890P,Farah Binte,Resident,2,HDB 3-room,2023
SG043,S5678901Q,Daniel Goh,Resident,0,Private Condo,2023
